order,responsible,nameWithOwner,sshUrl,createdAt,updatedAt,stargazers.totalCount,releases.totalCount,analysed,LOC,CBO,DIT,LCOM
166,Pedro,apache/zookeeper,git@github.com:apache/zookeeper.git,2009-03-27T15:41:56Z,2022-03-14T16:36:30Z,10253,0,no,,,,
167,Pedro,JakeWharton/ViewPagerIndicator,git@github.com:JakeWharton/ViewPagerIndicator.git,2011-08-04T17:13:44Z,2022-03-11T13:11:12Z,10216,0,no,,,,
168,Pedro,gyf-dev/ImmersionBar,git@github.com:gyf-dev/ImmersionBar.git,2017-04-19T05:10:09Z,2022-03-14T15:55:21Z,10168,0,no,,,,
169,Pedro,JessYanCoding/MVPArms,git@github.com:JessYanCoding/MVPArms.git,2016-08-06T08:49:56Z,2022-03-14T07:53:07Z,10153,25,no,,,,
170,Pedro,janishar/mit-deep-learning-book-pdf,git@github.com:janishar/mit-deep-learning-book-pdf.git,2017-04-07T10:46:50Z,2022-03-14T14:22:53Z,10079,3,no,,,,
171,Pedro,daniulive/SmarterStreaming,git@github.com:daniulive/SmarterStreaming.git,2016-03-26T14:46:02Z,2022-03-13T22:34:44Z,9949,0,no,,,,
172,Pedro,aosp-mirror/platform_frameworks_base,git@github.com:aosp-mirror/platform_frameworks_base.git,2008-10-21T18:20:37Z,2022-03-14T10:06:30Z,9900,0,no,,,,
173,Pedro,neo4j/neo4j,git@github.com:neo4j/neo4j.git,2012-11-12T08:46:15Z,2022-03-14T06:54:32Z,9809,72,no,,,,
174,Pedro,chefyuan/algorithm-base,git@github.com:chefyuan/algorithm-base.git,2021-03-17T09:32:28Z,2022-03-14T13:47:55Z,9802,0,no,,,,
175,Pedro,YoKeyword/Fragmentation,git@github.com:YoKeyword/Fragmentation.git,2016-02-23T08:54:55Z,2022-03-14T15:59:49Z,9714,30,no,,,,
176,Pedro,careercup/CtCI-6th-Edition,git@github.com:careercup/CtCI-6th-Edition.git,2015-07-02T06:28:46Z,2022-03-14T09:26:34Z,9682,0,no,,,,
177,Pedro,liaohuqiu/android-Ultra-Pull-To-Refresh,git@github.com:liaohuqiu/android-Ultra-Pull-To-Refresh.git,2014-11-13T03:13:10Z,2022-03-14T13:18:53Z,9665,8,no,,,,
178,Pedro,google/auto,git@github.com:google/auto.git,2013-05-22T21:41:56Z,2022-03-14T17:58:27Z,9655,55,no,,,,
179,Pedro,ksoichiro/Android-ObservableScrollView,git@github.com:ksoichiro/Android-ObservableScrollView.git,2014-11-08T14:45:20Z,2022-03-12T10:20:14Z,9623,0,no,,,,
180,Pedro,HarlonWang/AVLoadingIndicatorView,git@github.com:HarlonWang/AVLoadingIndicatorView.git,2015-10-24T20:18:33Z,2022-03-13T06:11:51Z,9600,1,no,,,,
181,Pedro,wasabeef/glide-transformations,git@github.com:wasabeef/glide-transformations.git,2015-01-09T10:33:29Z,2022-03-14T13:32:23Z,9582,0,no,,,,
182,Pedro,react-native-camera/react-native-camera,git@github.com:react-native-camera/react-native-camera.git,2015-04-01T00:54:40Z,2022-03-14T08:51:14Z,9559,144,no,,,,
183,Pedro,DuGuQiuBai/Java,git@github.com:DuGuQiuBai/Java.git,2015-11-25T07:30:08Z,2022-03-15T00:48:43Z,9533,0,no,,,,
184,Pedro,quarkusio/quarkus,git@github.com:quarkusio/quarkus.git,2018-07-06T00:44:20Z,2022-03-14T14:18:34Z,9528,164,no,,,,
185,Pedro,pxb1988/dex2jar,git@github.com:pxb1988/dex2jar.git,2015-03-16T09:13:07Z,2022-03-14T20:53:23Z,9521,6,no,,,,
186,Pedro,grpc/grpc-java,git@github.com:grpc/grpc-java.git,2014-12-08T19:00:00Z,2022-03-14T11:11:28Z,9507,109,no,,,,
187,Pedro,square/javapoet,git@github.com:square/javapoet.git,2013-02-01T16:56:30Z,2022-03-14T17:50:15Z,9455,0,no,,,,
188,Pedro,pockethub/PocketHub,git@github.com:pockethub/PocketHub.git,2011-09-08T16:52:50Z,2022-03-13T21:21:41Z,9454,1,no,,,,
189,Pedro,googlesamples/easypermissions,git@github.com:googlesamples/easypermissions.git,2015-12-22T18:05:53Z,2022-03-14T14:43:01Z,9398,12,no,,,,
190,Pedro,umano/AndroidSlidingUpPanel,git@github.com:umano/AndroidSlidingUpPanel.git,2013-05-31T18:33:53Z,2022-03-13T13:02:20Z,9397,8,no,,,,
191,Pedro,clojure/clojure,git@github.com:clojure/clojure.git,2010-06-29T20:03:33Z,2022-03-14T18:29:29Z,9379,0,no,,,,
192,Pedro,jhy/jsoup,git@github.com:jhy/jsoup.git,2009-12-19T01:29:58Z,2022-03-14T14:38:26Z,9336,5,no,,,,
193,Pedro,zaproxy/zaproxy,git@github.com:zaproxy/zaproxy.git,2015-06-03T16:55:01Z,2022-03-15T00:46:05Z,9322,255,no,,,,
194,Pedro,apereo/cas,git@github.com:apereo/cas.git,2011-09-09T01:36:42Z,2022-03-15T00:43:42Z,9310,211,no,,,,
195,Pedro,perwendel/spark,git@github.com:perwendel/spark.git,2011-05-05T11:52:05Z,2022-03-14T06:44:38Z,9272,0,no,,,,
196,Pedro,paascloud/paascloud-master,git@github.com:paascloud/paascloud-master.git,2018-03-17T05:40:43Z,2022-03-14T08:37:31Z,9265,0,no,,,,
197,Pedro,MyCATApache/Mycat-Server,git@github.com:MyCATApache/Mycat-Server.git,2014-12-04T02:46:54Z,2022-03-15T00:54:40Z,9250,7,no,,,,
198,Pedro,bilibili/DanmakuFlameMaster,git@github.com:bilibili/DanmakuFlameMaster.git,2013-08-11T12:18:50Z,2022-03-12T09:25:34Z,9237,5,no,,,,
199,Pedro,navasmdc/MaterialDesignLibrary,git@github.com:navasmdc/MaterialDesignLibrary.git,2014-09-30T07:37:17Z,2022-03-10T16:05:03Z,9092,3,no,,,,
200,Pedro,hackware1993/MagicIndicator,git@github.com:hackware1993/MagicIndicator.git,2016-06-26T08:20:43Z,2022-03-14T02:34:44Z,9066,12,no,,,,
201,Pedro,koral--/android-gif-drawable,git@github.com:koral--/android-gif-drawable.git,2013-01-30T01:37:46Z,2022-03-14T07:54:27Z,9034,56,no,,,,
202,Pedro,lihengming/spring-boot-api-project-seed,git@github.com:lihengming/spring-boot-api-project-seed.git,2017-06-23T10:06:30Z,2022-03-14T12:16:11Z,9028,4,no,,,,
203,Pedro,nathanmarz/storm,git@github.com:nathanmarz/storm.git,2011-09-17T07:55:13Z,2022-03-14T08:15:44Z,8930,0,no,,,,
204,Pedro,lzyzsd/JsBridge,git@github.com:lzyzsd/JsBridge.git,2015-02-26T12:10:58Z,2022-03-14T04:59:03Z,8856,0,no,,,,
205,Pedro,TooTallNate/Java-WebSocket,git@github.com:TooTallNate/Java-WebSocket.git,2010-01-20T23:33:04Z,2022-03-14T15:46:15Z,8841,13,no,,,,
206,Pedro,chrisbanes/Android-PullToRefresh,git@github.com:chrisbanes/Android-PullToRefresh.git,2011-11-29T09:59:56Z,2022-03-13T04:50:44Z,8776,0,no,,,,
207,Pedro,laobie/StatusBarUtil,git@github.com:laobie/StatusBarUtil.git,2016-02-15T03:06:06Z,2022-03-14T09:12:29Z,8729,0,no,,,,
208,Pedro,OpenRefine/OpenRefine,git@github.com:OpenRefine/OpenRefine.git,2012-10-15T02:22:48Z,2022-03-14T23:09:24Z,8682,32,no,,,,
209,Pedro,didi/VirtualAPK,git@github.com:didi/VirtualAPK.git,2017-06-29T07:25:05Z,2022-03-12T19:05:44Z,8639,4,no,,,,
210,Pedro,chrisjenx/Calligraphy,git@github.com:chrisjenx/Calligraphy.git,2013-12-20T02:35:45Z,2022-03-13T20:42:50Z,8621,4,no,,,,
211,Pedro,newbee-ltd/newbee-mall,git@github.com:newbee-ltd/newbee-mall.git,2019-09-21T03:56:04Z,2022-03-14T16:04:59Z,8612,0,no,,,,
212,Pedro,MindorksOpenSource/android-interview-questions,git@github.com:MindorksOpenSource/android-interview-questions.git,2017-07-09T18:47:24Z,2022-03-14T18:03:40Z,8557,0,no,,,,
213,Pedro,GcsSloop/AndroidNote,git@github.com:GcsSloop/AndroidNote.git,2016-01-04T23:51:36Z,2022-03-14T10:48:36Z,8550,0,no,,,,
214,Pedro,asLody/VirtualApp,git@github.com:asLody/VirtualApp.git,2016-07-06T13:25:23Z,2022-03-14T11:54:56Z,8544,0,no,,,,
215,Pedro,Freelander/Android_Data,git@github.com:Freelander/Android_Data.git,2015-04-04T01:37:44Z,2022-03-14T12:39:18Z,8474,0,no,,,,
216,Pedro,roughike/BottomBar,git@github.com:roughike/BottomBar.git,2016-03-16T01:31:05Z,2022-03-09T18:20:10Z,8445,4,no,,,,
217,Pedro,Justson/AgentWeb,git@github.com:Justson/AgentWeb.git,2017-05-12T07:45:56Z,2022-03-14T08:31:37Z,8444,18,no,,,,
218,Pedro,Activiti/Activiti,git@github.com:Activiti/Activiti.git,2012-09-13T11:34:43Z,2022-03-14T13:31:50Z,8427,30,no,,,,
219,Pedro,android/testing-samples,git@github.com:android/testing-samples.git,2014-10-11T03:51:27Z,2022-03-11T12:47:49Z,8412,0,no,,,,
220,Pedro,stanfordnlp/CoreNLP,git@github.com:stanfordnlp/CoreNLP.git,2013-06-27T21:13:49Z,2022-03-14T17:54:14Z,8383,8,no,,,,
221,Pedro,Blankj/awesome-java-leetcode,git@github.com:Blankj/awesome-java-leetcode.git,2017-04-17T15:51:41Z,2022-03-14T14:16:58Z,8353,0,no,,,,
222,Pedro,cats-oss/android-gpuimage,git@github.com:cats-oss/android-gpuimage.git,2012-10-04T08:11:58Z,2022-03-14T23:56:57Z,8318,0,no,,,,
223,Pedro,junit-team/junit4,git@github.com:junit-team/junit4.git,2009-01-13T03:41:26Z,2022-03-13T03:48:38Z,8266,13,no,,,,
224,Pedro,crossoverJie/cim,git@github.com:crossoverJie/cim.git,2018-05-20T15:55:56Z,2022-03-14T09:32:22Z,8255,7,no,,,,
225,Pedro,facebook/buck,git@github.com:facebook/buck.git,2013-04-17T18:12:18Z,2022-03-13T16:13:37Z,8226,56,no,,,,
226,Pedro,macrozheng/mall-swarm,git@github.com:macrozheng/mall-swarm.git,2019-11-25T06:55:31Z,2022-03-14T18:30:21Z,8221,1,no,,,,
227,Pedro,florent37/MaterialViewPager,git@github.com:florent37/MaterialViewPager.git,2015-04-24T17:53:15Z,2022-03-09T18:23:30Z,8212,11,no,,,,
228,Pedro,dromara/Sa-Token,git@github.com:dromara/Sa-Token.git,2020-02-03T10:34:29Z,2022-03-14T14:19:53Z,8209,23,no,,,,
229,Pedro,questdb/questdb,git@github.com:questdb/questdb.git,2014-04-28T23:29:15Z,2022-03-14T17:14:31Z,8186,45,no,,,,
230,Pedro,jwtk/jjwt,git@github.com:jwtk/jjwt.git,2014-09-13T01:06:24Z,2022-03-14T12:54:43Z,8179,0,no,,,,
231,Pedro,dropwizard/dropwizard,git@github.com:dropwizard/dropwizard.git,2011-01-19T19:52:29Z,2022-03-14T08:42:18Z,8151,114,no,,,,
232,Pedro,ybq/Android-SpinKit,git@github.com:ybq/Android-SpinKit.git,2016-03-20T08:40:51Z,2022-03-14T17:54:18Z,8141,0,no,,,,
233,Pedro,huanghaibin-dev/CalendarView,git@github.com:huanghaibin-dev/CalendarView.git,2017-03-11T07:16:09Z,2022-03-14T09:28:27Z,8126,0,no,,,,
234,Pedro,alibaba/atlas,git@github.com:alibaba/atlas.git,2017-02-28T06:31:43Z,2022-03-14T09:23:11Z,8048,7,no,,,,
235,Pedro,firebase/quickstart-android,git@github.com:firebase/quickstart-android.git,2016-04-26T17:13:27Z,2022-03-14T20:40:55Z,8042,0,no,,,,
236,Pedro,amitshekhariitbhu/Android-Debug-Database,git@github.com:amitshekhariitbhu/Android-Debug-Database.git,2016-11-16T14:20:24Z,2022-03-14T06:20:11Z,7968,12,no,,,,
237,Pedro,ChrisRM/material-theme-jetbrains,git@github.com:ChrisRM/material-theme-jetbrains.git,2015-09-23T07:15:04Z,2022-03-13T07:07:20Z,7910,17,no,,,,
238,Pedro,HannahMitt/HomeMirror,git@github.com:HannahMitt/HomeMirror.git,2015-08-23T03:20:08Z,2022-03-14T12:14:01Z,7898,0,no,,,,
239,Pedro,shwenzhang/AndResGuard,git@github.com:shwenzhang/AndResGuard.git,2015-10-11T11:48:06Z,2022-03-13T04:32:55Z,7896,4,no,,,,
240,Pedro,OpenFeign/feign,git@github.com:OpenFeign/feign.git,2013-06-26T23:28:16Z,2022-03-14T11:42:09Z,7892,22,no,,,,
241,Pedro,Netflix/SimianArmy,git@github.com:Netflix/SimianArmy.git,2012-07-06T22:00:05Z,2022-03-11T10:20:04Z,7857,4,no,,,,
242,Pedro,airbnb/epoxy,git@github.com:airbnb/epoxy.git,2016-08-08T23:05:11Z,2022-03-15T00:34:45Z,7809,70,no,,,,
243,Pedro,guolindev/LitePal,git@github.com:guolindev/LitePal.git,2013-02-20T03:20:07Z,2022-03-14T09:35:25Z,7805,0,no,,,,
244,Pedro,resilience4j/resilience4j,git@github.com:resilience4j/resilience4j.git,2015-06-03T09:21:01Z,2022-03-14T08:35:07Z,7782,29,no,,,,
245,Pedro,hs-web/hsweb-framework,git@github.com:hs-web/hsweb-framework.git,2016-01-18T03:51:39Z,2022-03-13T14:29:50Z,7781,24,no,,,,
246,Pedro,JakeWharton/hugo,git@github.com:JakeWharton/hugo.git,2013-11-25T09:16:40Z,2022-03-14T01:46:07Z,7779,0,no,,,,
247,Pedro,doocs/source-code-hunter,git@github.com:doocs/source-code-hunter.git,2019-10-28T01:35:10Z,2022-03-14T22:59:54Z,7757,0,no,,,,
248,Pedro,trello/RxLifecycle,git@github.com:trello/RxLifecycle.git,2015-07-20T13:32:23Z,2022-03-12T19:09:08Z,7692,22,no,,,,
249,Pedro,kaushikgopal/RxJava-Android-Samples,git@github.com:kaushikgopal/RxJava-Android-Samples.git,2014-07-23T05:13:52Z,2022-03-14T09:26:23Z,7526,0,no,,,,
250,Pedro,signalapp/Signal-Server,git@github.com:signalapp/Signal-Server.git,2013-12-09T07:10:36Z,2022-03-15T00:03:27Z,7512,0,no,,,,
251,Henrique,react-native-image-picker/react-native-image-picker,git@github.com:react-native-image-picker/react-native-image-picker.git,2015-06-08T20:25:31Z,2022-03-14T08:56:28Z,7508,99,yes,,,,
252,Henrique,dropwizard/metrics,git@github.com:dropwizard/metrics.git,2010-02-26T19:44:42Z,2022-03-14T22:58:34Z,7507,86,yes,,,,
253,Henrique,aritraroy/UltimateAndroidReference,git@github.com:aritraroy/UltimateAndroidReference.git,2017-04-10T07:28:27Z,2022-03-13T19:22:02Z,7464,0,yes,18.0,1.0,1.0,0.0
254,Henrique,apache/dolphinscheduler,git@github.com:apache/dolphinscheduler.git,2019-03-01T16:39:25Z,2022-03-14T14:54:46Z,7457,24,yes,41816.0,11.0,7.0,0.0
255,Henrique,apache/shardingsphere-elasticjob,git@github.com:apache/shardingsphere-elasticjob.git,2015-09-11T11:28:52Z,2022-03-13T13:34:49Z,7436,27,yes,17475.0,0.0,4.0,0.0
256,Henrique,google/tsunami-security-scanner,git@github.com:google/tsunami-security-scanner.git,2020-06-03T16:20:00Z,2022-03-13T04:15:56Z,7414,9,yes,4826.0,3.0,5.0,25.0
257,Henrique,facebook/litho,git@github.com:facebook/litho.git,2017-01-27T03:59:11Z,2022-03-14T18:31:43Z,7353,48,yes,106924.0,55.0,10.0,818.0
258,Henrique,KunMinX/Jetpack-MVVM-Best-Practice,git@github.com:KunMinX/Jetpack-MVVM-Best-Practice.git,2019-10-31T05:21:01Z,2022-03-14T08:25:12Z,7296,0,yes,106924.0,55.0,10.0,818.0
259,Henrique,lecho/hellocharts-android,git@github.com:lecho/hellocharts-android.git,2014-10-12T09:12:37Z,2022-03-15T00:17:45Z,7283,14,yes,106924.0,55.0,10.0,818.0
260,Henrique,google/agera,git@github.com:google/agera.git,2015-12-17T13:22:58Z,2022-03-12T19:13:59Z,7281,16,yes,106924.0,55.0,10.0,818.0
261,Henrique,square/dagger,git@github.com:square/dagger.git,2012-08-02T23:25:32Z,2022-03-14T01:03:55Z,7278,0,yes,106924.0,55.0,10.0,818.0
262,Henrique,Bearded-Hen/Android-Bootstrap,git@github.com:Bearded-Hen/Android-Bootstrap.git,2013-11-01T15:36:17Z,2022-03-13T21:19:05Z,7253,5,yes,106924.0,55.0,10.0,818.0
263,Henrique,cymcsg/UltimateRecyclerView,git@github.com:cymcsg/UltimateRecyclerView.git,2015-01-28T02:27:45Z,2022-03-11T01:19:04Z,7244,9,yes,106924.0,55.0,10.0,818.0
264,Henrique,vipshop/vjtools,git@github.com:vipshop/vjtools.git,2018-05-29T09:07:08Z,2022-03-14T15:07:09Z,7242,9,yes,106924.0,55.0,10.0,818.0
265,Henrique,pedant/sweet-alert-dialog,git@github.com:pedant/sweet-alert-dialog.git,2014-10-19T09:24:09Z,2022-03-14T02:14:15Z,7234,2,yes,106924.0,55.0,10.0,818.0
266,Henrique,davemorrissey/subsampling-scale-image-view,git@github.com:davemorrissey/subsampling-scale-image-view.git,2013-08-26T16:45:25Z,2022-03-14T09:14:50Z,7208,21,yes,106924.0,55.0,10.0,818.0
267,Henrique,zhoutaoo/SpringCloud,git@github.com:zhoutaoo/SpringCloud.git,2017-07-23T14:28:08Z,2022-03-14T18:30:24Z,7198,0,yes,106924.0,55.0,10.0,818.0
268,Henrique,koush/AndroidAsync,git@github.com:koush/AndroidAsync.git,2012-08-24T07:27:04Z,2022-03-11T01:52:57Z,7188,0,yes,106924.0,55.0,10.0,818.0
269,Henrique,gedoor/MyBookshelf,git@github.com:gedoor/MyBookshelf.git,2018-06-12T03:48:07Z,2022-03-15T00:05:15Z,7182,164,yes,106924.0,55.0,10.0,818.0
270,Henrique,crazycodeboy/TakePhoto,git@github.com:crazycodeboy/TakePhoto.git,2015-08-04T02:05:32Z,2022-03-14T08:15:21Z,7178,15,yes,106924.0,55.0,10.0,818.0
271,Henrique,apache/cassandra,git@github.com:apache/cassandra.git,2009-05-21T02:10:09Z,2022-03-14T20:42:38Z,7170,0,yes,106924.0,55.0,10.0,818.0
272,Henrique,JakeWharton/ActionBarSherlock,git@github.com:JakeWharton/ActionBarSherlock.git,2011-03-07T17:28:54Z,2022-03-14T06:31:38Z,7155,32,yes,106924.0,55.0,10.0,818.0
273,Henrique,leolin310148/ShortcutBadger,git@github.com:leolin310148/ShortcutBadger.git,2013-11-15T12:51:52Z,2022-03-10T06:14:28Z,7145,0,yes,106924.0,55.0,10.0,818.0
274,Henrique,geeeeeeeeek/WeChatLuckyMoney,git@github.com:geeeeeeeeek/WeChatLuckyMoney.git,2015-09-30T16:11:20Z,2022-03-13T04:08:06Z,7132,20,yes,106924.0,55.0,10.0,818.0
275,Henrique,alibaba/otter,git@github.com:alibaba/otter.git,2013-08-09T09:31:22Z,2022-03-14T14:36:14Z,7067,10,yes,106924.0,55.0,10.0,818.0
276,Henrique,cryptomator/cryptomator,git@github.com:cryptomator/cryptomator.git,2014-02-02T00:43:47Z,2022-03-14T08:48:29Z,7066,124,yes,106924.0,55.0,10.0,818.0
277,Henrique,barteksc/AndroidPdfViewer,git@github.com:barteksc/AndroidPdfViewer.git,2016-06-02T20:21:21Z,2022-03-14T13:21:40Z,7061,0,yes,106924.0,55.0,10.0,818.0
278,Henrique,ionic-team/capacitor,git@github.com:ionic-team/capacitor.git,2017-11-18T21:38:09Z,2022-03-14T21:04:32Z,7048,75,yes,106924.0,55.0,10.0,818.0
279,Henrique,java-native-access/jna,git@github.com:java-native-access/jna.git,2011-04-29T13:30:29Z,2022-03-14T18:10:56Z,7020,0,yes,106924.0,55.0,10.0,818.0
280,Henrique,google/android-classyshark,git@github.com:google/android-classyshark.git,2015-10-12T13:40:48Z,2022-03-14T13:29:56Z,6971,17,yes,106924.0,55.0,10.0,818.0
281,Henrique,ogaclejapan/SmartTabLayout,git@github.com:ogaclejapan/SmartTabLayout.git,2015-02-14T11:25:51Z,2022-03-10T19:29:45Z,6967,0,yes,106924.0,55.0,10.0,818.0
282,Henrique,theonedev/onedev,git@github.com:theonedev/onedev.git,2018-11-06T02:57:01Z,2022-03-14T23:01:17Z,6954,105,yes,106924.0,55.0,10.0,818.0
283,Henrique,swagger-api/swagger-core,git@github.com:swagger-api/swagger-core.git,2011-07-05T23:44:11Z,2022-03-14T05:56:43Z,6948,72,yes,106924.0,55.0,10.0,818.0
284,Henrique,metersphere/metersphere,git@github.com:metersphere/metersphere.git,2020-02-03T02:06:12Z,2022-03-15T00:54:37Z,6944,133,yes,106924.0,55.0,10.0,818.0
285,Henrique,checkstyle/checkstyle,git@github.com:checkstyle/checkstyle.git,2013-08-31T02:05:05Z,2022-03-14T23:09:11Z,6932,113,yes,106924.0,55.0,10.0,818.0
286,Henrique,Qihoo360/RePlugin,git@github.com:Qihoo360/RePlugin.git,2017-06-08T09:39:09Z,2022-03-14T08:19:40Z,6930,17,yes,106924.0,55.0,10.0,818.0
287,Henrique,kevin-wayne/algs4,git@github.com:kevin-wayne/algs4.git,2015-08-31T09:28:49Z,2022-03-14T03:11:43Z,6917,0,yes,106924.0,55.0,10.0,818.0
288,Henrique,alibaba/COLA,git@github.com:alibaba/COLA.git,2018-02-06T13:46:27Z,2022-03-14T11:52:42Z,6896,4,yes,106924.0,55.0,10.0,818.0
289,Henrique,goldze/MVVMHabit,git@github.com:goldze/MVVMHabit.git,2017-07-21T10:38:40Z,2022-03-14T18:43:07Z,6894,3,yes,106924.0,55.0,10.0,818.0
290,Henrique,dyc87112/SpringCloud-Learning,git@github.com:dyc87112/SpringCloud-Learning.git,2016-08-21T03:39:52Z,2022-03-11T09:18:01Z,6885,0,yes,106924.0,55.0,10.0,818.0
291,Henrique,seven332/EhViewer,git@github.com:seven332/EhViewer.git,2014-05-14T12:03:52Z,2022-03-14T12:31:15Z,6885,97,yes,106924.0,55.0,10.0,818.0
292,Henrique,hongyangAndroid/okhttputils,git@github.com:hongyangAndroid/okhttputils.git,2015-08-17T14:53:29Z,2022-03-13T04:51:44Z,6866,0,yes,106924.0,55.0,10.0,818.0
293,Henrique,uber/RIBs,git@github.com:uber/RIBs.git,2017-10-03T18:18:50Z,2022-03-14T23:31:57Z,6772,4,yes,106924.0,55.0,10.0,818.0
294,Henrique,abel533/Mapper,git@github.com:abel533/Mapper.git,2014-11-21T11:02:10Z,2022-03-14T11:10:54Z,6762,2,yes,106924.0,55.0,10.0,818.0
295,Henrique,json-path/JsonPath,git@github.com:json-path/JsonPath.git,2011-01-24T13:19:19Z,2022-03-15T00:23:56Z,6737,8,yes,106924.0,55.0,10.0,818.0
296,Henrique,kekingcn/kkFileView,git@github.com:kekingcn/kkFileView.git,2017-12-12T11:41:08Z,2022-03-14T08:19:47Z,6731,10,yes,9165.0,2.0,4.0,4.0
297,Henrique,DroidPluginTeam/DroidPlugin,git@github.com:DroidPluginTeam/DroidPlugin.git,2015-08-27T11:14:57Z,2022-03-11T09:08:55Z,6710,2,yes,15184.0,1.0,129.0,0.0
298,Henrique,hongyangAndroid/AndroidAutoLayout,git@github.com:hongyangAndroid/AndroidAutoLayout.git,2015-11-19T02:09:11Z,2022-03-10T20:47:39Z,6695,0,yes,1852.0,3.0,4.0,15.0
299,Henrique,naman14/Timber,git@github.com:naman14/Timber.git,2015-06-12T16:43:55Z,2022-03-11T05:50:25Z,6670,5,yes,17285.0,7.0,8.0,0.0
300,Henrique,spring-projects/spring-security,git@github.com:spring-projects/spring-security.git,2012-01-10T21:50:57Z,2022-03-14T19:14:27Z,6643,92,yes,,,,
301,Henrique,NLPchina/elasticsearch-sql,git@github.com:NLPchina/elasticsearch-sql.git,2014-08-24T14:26:31Z,2022-03-14T12:11:29Z,6632,189,yes,17880.0,2.0,5.0,10.0
302,Henrique,yuanguangxin/LeetCode,git@github.com:yuanguangxin/LeetCode.git,2020-01-11T01:02:02Z,2022-03-15T00:15:41Z,6626,0,yes,2783.0,2.0,1.0,1.0
303,Henrique,kunal-kushwaha/DSA-Bootcamp-Java,git@github.com:kunal-kushwaha/DSA-Bootcamp-Java.git,2021-07-30T12:23:25Z,2022-03-14T19:58:37Z,6592,0,yes,,,,
304,Henrique,SonarSource/sonarqube,git@github.com:SonarSource/sonarqube.git,2011-01-05T11:05:17Z,2022-03-14T20:09:12Z,6588,25,yes,306272.0,6.0,10.0,4.0
305,Henrique,Exrick/xmall,git@github.com:Exrick/xmall.git,2017-07-28T01:49:49Z,2022-03-14T14:54:37Z,6571,0,yes,21492.0,5.0,4.0,13.0
306,Henrique,yanzhenjie/AndPermission,git@github.com:yanzhenjie/AndPermission.git,2016-09-11T05:17:34Z,2022-03-14T06:52:14Z,6552,0,yes,3729.0,2.0,2.0,0.0
307,Henrique,Angel-ML/angel,git@github.com:Angel-ML/angel.git,2017-04-25T05:57:43Z,2022-03-07T12:59:17Z,6495,19,yes,187134.0,2.0,10.0,6.0
308,Henrique,k9mail/k-9,git@github.com:k9mail/k-9.git,2011-02-04T02:40:00Z,2022-03-14T12:49:01Z,6493,126,yes,,,,
309,Henrique,wildfirechat/server,git@github.com:wildfirechat/server.git,2019-01-23T15:21:28Z,2022-03-12T03:14:22Z,6478,63,yes,,,,
310,Henrique,lenve/VBlog,git@github.com:lenve/VBlog.git,2017-12-26T11:01:55Z,2022-03-14T13:56:49Z,6458,0,yes,673.0,3.0,2.0,66.0
311,Henrique,flyway/flyway,git@github.com:flyway/flyway.git,2012-12-14T18:43:22Z,2022-03-14T15:42:53Z,6419,133,yes,17974.0,7.0,6.0,55.0
312,Henrique,debezium/debezium,git@github.com:debezium/debezium.git,2016-01-22T20:17:05Z,2022-03-14T21:11:13Z,6389,0,yes,,,,
313,Henrique,gocd/gocd,git@github.com:gocd/gocd.git,2013-12-13T05:26:16Z,2022-03-14T02:19:46Z,6389,70,yes,242128.0,7.0,19.0,80.0
314,Henrique,gyoogle/tech-interview-for-developer,git@github.com:gyoogle/tech-interview-for-developer.git,2019-06-09T04:42:57Z,2022-03-15T00:33:50Z,6388,0,yes,448.0,2.0,1.0,0.0
315,Henrique,google/closure-compiler,git@github.com:google/closure-compiler.git,2014-04-16T15:30:36Z,2022-03-14T06:20:56Z,6385,0,yes,243787.0,7.0,35.0,6.0
316,Henrique,zendesk/android-floating-action-button,git@github.com:zendesk/android-floating-action-button.git,2014-09-19T06:49:21Z,2022-03-14T22:22:21Z,6359,0,yes,851.0,24.0,5.0,722.0
317,Henrique,Meituan-Dianping/walle,git@github.com:Meituan-Dianping/walle.git,2017-01-10T03:39:25Z,2022-03-14T01:37:24Z,6351,1,yes,3368.0,0.0,6.0,1.0
318,Henrique,apache/storm,git@github.com:apache/storm.git,2013-11-05T08:00:14Z,2022-03-14T20:11:22Z,6334,0,yes,240437.0,13.0,30.0,8.0
319,Henrique,zo0r/react-native-push-notification,git@github.com:zo0r/react-native-push-notification.git,2015-12-14T19:53:36Z,2022-03-14T14:40:50Z,6315,35,yes,1697.0,4.0,2.0,0.0
320,Henrique,koush/ion,git@github.com:koush/ion.git,2013-05-22T07:41:23Z,2022-03-13T01:59:59Z,6302,0,yes,7587.0,0.0,23.0,0.0
321,Henrique,TechEmpower/FrameworkBenchmarks,git@github.com:TechEmpower/FrameworkBenchmarks.git,2013-03-22T17:33:54Z,2022-03-14T18:39:05Z,6302,15,yes,11322.0,8.0,4.0,0.0
322,Henrique,GrenderG/Toasty,git@github.com:GrenderG/Toasty.git,2017-01-18T18:52:41Z,2022-03-13T04:30:52Z,6298,19,yes,361.0,3.0,2.0,0.0
323,Henrique,markzhai/AndroidPerformanceMonitor,git@github.com:markzhai/AndroidPerformanceMonitor.git,2016-01-17T05:23:22Z,2022-03-14T07:09:26Z,6292,0,yes,1837.0,4.0,3.0,186.0
324,Henrique,vinc3m1/RoundedImageView,git@github.com:vinc3m1/RoundedImageView.git,2013-02-22T01:17:37Z,2022-03-11T12:20:48Z,6291,19,yes,,,,
